State,State Acres (1000 acres),,,,,,
Alabama,"33,432",,,,,,
Alaska,"393,747",,,,,,
Arizona,"72,964",,,,,,
Arkansas,"34,036",,,,,,
California,"101,676",,,,,,
Colorado,"66,624",,,,,,
Connecticut,"3,548",,,,,,
Delaware,"1,534",,,,,,
District of Columbia,39,,,,,,
Florida,"38,392",,,,,,
Georgia,"37,745",,,,,,
Hawaii,"4,134",,,,,,
Idaho,"53,487",,,,,,
Illinois,"36,060",,,,,,
Indiana,"23,158",,,,,,
Iowa,"36,017",,,,,,
Kansas,"52,660",,,,,,
Kentucky,"25,863",,,,,,
Louisiana,"31,776",,,,,,
Maine,"21,594",,,,,,
Maryland,"7,870",,,,,,
Massachusetts,"5,914",,,,,,
Michigan,"37,448",,,,,,
Minnesota,"54,014",,,,,,
Mississippi,"30,903",,,,,,
Missouri,"44,614",,,,,,
Montana,"94,109",,,,,,
Nebraska,"49,523",,,,,,
Nevada,"70,763",,,,,,
New Hampshire,"5,941",,,,,,
New Jersey,"5,258",,,,,,
New Mexico,"77,823",,,,,,
New York,"32,056",,,,,,
North Carolina,"33,710",,,,,,
North Dakota,"45,251",,,,,,
Ohio,"26,451",,,,,,
Oklahoma,"44,738",,,,,,
Oregon,"62,140",,,,,,
Pennsylvania,"28,806",,,,,,
Commonwealth of Puerto Rico,"2,245",,,,,,
Rhode Island,788,,,,,,
South Carolina,"19,961",,,,,,
South Dakota,"49,357",,,,,,
Tennessee,"26,973",,,,,,
Texas,"171,057",,,,,,
Utah,"54,339",,,,,,
Vermont,"6,154",,,,,,
Virgin Islands,109,,,,,,
Virginia,"27,089",,,,,,
Washington,"45,208",,,,,,
West Virginia,"15,508",,,,,,
Wisconsin,"35,933",,,,,,
Wyoming,"62,604",,,,,,
